chemical_name,company,date_added
dinocap,,11/9/2004 14:00
dinocton,,11/9/2004 14:00
cyflumetofen,Otsuka Chemical Co.,10/29/2004 13:00
pyriprole,Nihon Nohyaku,10/29/2004 13:00
phenyl pyrazolyl ketone herbicides,,10/26/2004 13:00
sulfonamide herbicides,,10/26/2004 13:00
flubendiamide,Nihon Nohyaku,10/21/2004 13:00
lepimectin,Sankyo Agro,10/21/2004 13:00
mandipropamid,Sankyo Agro,10/21/2004 13:00
metaflumizone,BASF,10/21/2004 13:00
orthosulfamuron,Isagro,10/21/2004 13:00
pyrafluprole,Nihon Nohyaku,10/21/2004 13:00
pyrimisulfan,Kumiai Chemical Industry,10/21/2004 13:00
topramezone,BASF,10/21/2004 13:00
merphos,,7/5/2004 8:00
prohexadione,,6/23/2004 13:00
mesosulfuron,,5/20/2004 8:00
diflovidazin,Agro-Chemie,5/11/2004 13:00
fluopicolide,Bayer CropScience,5/11/2004 13:00
penthiopyrad,Mitsui Chemicals,5/11/2004 13:00
oxadiazolone herbicides,,12/29/2005 14:00
diphacinone,,12/6/2005 17:30
epoxiconazole,,12/2/2005 14:00
warfarin,,11/30/2005 10:00
bromacil,,11/24/2005 17:30
mevinphos,,8/12/2005 8:00
boric acid,,8/9/2005 13:00
diatomaceous earth,,8/9/2005 13:00
silica gel,,8/9/2005 13:00
picaridin / icaridin,,5/17/2005 13:00
amisulbrom,Nissan Chemical Industries,5/13/2005 13:00
bencarbazone,Arvesta Corporation,5/13/2005 13:00
pyrasulfotole,Bayer CropScience,5/13/2005 13:00
spirotetramat,Bayer CropScience,5/13/2005 13:00
tridemorph,,4/19/2005 12:30
fenpyroximate,,4/13/2005 8:00
dicyclonon,,2/4/2005 17:30
bixafen,Bayer CropScience,12/22/2006 14:00
fluopyram,Bayer CropScience,12/22/2006 14:00
carboxide,,11/14/2006 14:00
oxamate,,11/14/2006 14:00
spinetoram,Dow AgroSciences,10/3/2006 8:00
spinosyn insecticides,,10/3/2006 8:00
spinosad,,10/3/2006 8:00
chlorantraniliprole,E. I. du Pont de Nemours,9/7/2006 8:00
diamide insecticides,,9/7/2006 8:00
imicyafos,Agro-Kanesho,8/4/2006 13:00
pyrifluquinazon,Nihon Nohyaku,8/4/2006 13:00
pyroxasulfone,Kumiai Chemical Industry,8/4/2006 13:00
isotianil,Bayer CropScience,6/19/2006 13:00
pyroxsulam,Dow AgroSciences,6/19/2006 13:00
tefuryltrione,Bayer CropScience,6/19/2006 13:00
tralopyril,BASF,6/19/2006 13:00
Ester and salt derivatives,,6/16/2006 8:00
InChI identifiers,,4/20/2006 8:00
carbamorph,,3/8/2006 8:30
furyloxyfen,,2/23/2006 14:00
iminoctadine,,2/23/2006 14:00
benfuracarb,,2/22/2006 14:00
fenoxaprop,,2/22/2006 14:00
isopolinate,,2/22/2006 14:00
bromobutide,,2/13/2006 17:30
penconazole,,2/13/2006 17:30
tioxymid,,2/13/2006 17:30
cyenopyrafen,Nissan Chemical Industries,2/8/2006 14:00
cyprosulfamide,Bayer CropScience,2/8/2006 14:00
meptyldinocap,Dow AgroSciences,2/8/2006 14:00
pyribencarb,Kumiai Chemical Industry,2/8/2006 14:00
tembotrione,Bayer CropScience,2/8/2006 14:00
thiencarbazone,Bayer CropScience,2/8/2006 14:00
imidacloprid,Bayer,12/20/2007 13:20
saflufenacil,BASF,12/5/2007 17:10
cyantraniliprole,E. I. du Pont de Nemours,10/28/2008 13:00
indaziflam,Bayer CropScience,10/28/2008 13:00
propyrisulfuron,Sumitomo Chemical Co.,10/28/2008 13:00
sedaxane,Syngenta Crop Protection,10/28/2008 13:00
sulfoxaflor,Dow AgroSciences,10/28/2008 13:00
flutianil,Otsuka Chemical Co.,7/31/2008 7:40
ipfencarbazone,Hokko Chemical Industry,7/23/2008 12:05
glufosinate-P,Meiji Seika Kaisha,7/16/2008 12:15
aminocyclopyrachlor,DuPont Crop Protection,6/12/2008 12:15
alpha-endosulfan,Excel Crop Care,6/12/2008 12:15
isopyrazam,Syngenta Crop Protection,6/12/2008 12:15
buprofezin,Nihon Noyaku,5/1/2008 7:30
