name-english,name-greek,main-type,sub-type,description
Aphrodite,Ἀφροδίτη,god,olympian,"goddess of beauty, love, desire, and pleasure"
Apollo,Ἀπόλλων,god,olympian,"god of music, arts, knowledge, healing, plague, prophecy, poetry, manly beauty, and archery"
Ares,Ἄρης,god,olympian,"god of courage, war, bloodshed, and violence"
Artemis,Ἄρτεμις,god,olympian,"virgin goddess of the hunt, wilderness, animals, the moon and young girls"
Athena,Ἀθηνᾶ,god,olympian,"goddess of reason, wisdom, intelligence, skill, peace, warfare, battle strategy, and handicrafts"
Demeter,Δημήτηρ,god,olympian,"goddess of grain, agriculture, harvest, growth, and nourishment"
Dionysus,Διόνυσος,god,olympian,"god of wine, fruitfulness, parties, festivals, madness, chaos, drunkenness, vegetation, ecstasy, and the theater"
Hades,ᾍδης,god,olympian,god and king of the underworld and the dead
Hephaestus,Ἥφαιστος,god,olympian,"god of fire, metalworking, and crafts"
Hera,Ἥρα,god,olympian,"queen of the gods, and goddess of marriage, women, childbirth, heirs, kings, and empires"
Hermes,Ἑρμῆς,god,olympian,"god of boundaries, travel, communication, trade, language, thieves and writing"
Hestia,Ἑστία,god,olympian,"virgin goddess of the hearth, home, and chastity"
Poseidon,Ποσειδῶν,god,olympian,"god of the sea, rivers, floods, droughts, and earthquakes"
Zeus,Ζεύς,god,olympian,"king of the gods, ruler of mount olympus, and god of the sky, weather, thunder, lightning, law, order, and justice"
Achlys,Ἀχλύς,god,primordial," goddess of poisons, and the personification of misery and sadness"
Aether,Αἰθήρ,god,primordial, god of light and the upper atmosphere
Aion,Αἰών,god,primordial," god of eternity, personifying cyclical and unbounded time"
Ananke,Ἀνάγκη,god,primordial," goddess of inevitability, compulsion, and necessity"
Chaos,Χάος,god,primordial, personification of nothingness from which all of existence sprang
Chronos,Χρόνος,god,primordial," god of empirical time, sometimes equated with aion"
Erebus,Ἔρεβος,god,primordial, god of darkness and shadow
Eros,Ἔρως,god,primordial, god of love and attraction
Gaia,Γαῖα,god,primordial,personification of the earth (mother earth); mother of the titans
Hemera,Ἡμέρα,god,primordial, goddess of day
Hypnos,Ὕπνος,god,primordial,god of sleep
Nemesis,Νέμεσις,god,primordial, goddess of retribution
Nesoi,Νῆσοι,god,primordial, goddesses of islands
Nyx,Νύξ,god,primordial, goddess of night
Ourea,Οὔρεα,god,primordial, gods of mountains
Phanes,Φάνης,god,primordial, god of procreation in the orphic tradition
Pontus,Πόντος,god,primordial," god of the sea, father of the fish and other sea creatures"
Tartarus,Τάρταρος,god,primordial," god of the deepest, darkest part of the underworld, the tartarean pit (which is also referred to as tartarus itself)"
Thalassa,Θάλασσα,god,primordial,personification of the sea and consort of pontus
Thanatos,Θάνατος,god,primordial,god of death
Uranus,Οὐρανός,god,primordial, god of the heavens (father sky); father of the titans
Coeus,Κοῖος,titan,twelve titan,titan of intellect and the axis of heaven around which the constellations revolved
Crius,Κρεῖος,titan,twelve titan," least individualized of the twelve titans, he is the father of astraeus, pallas, and perses"
Cronus,Κρόνος,titan,twelve titan,titan of harvests and personification of destructive time
Hyperion,Ὑπερίων,titan,twelve titan,titan of light
Iapetus,Ἰαπετός,titan,twelve titan,"titan of mortality and father of prometheus, epimetheus, menoetius, and atlas"
Mnemosyne,Mνημοσύνη,titan,twelve titan,"titaness of memory and remembrance, and mother of the nine muses"
Oceanus,Ὠκεανός,titan,twelve titan,"titan of the all-encircling river oceans around the earth, the fount of all the earths fresh-water"
Phoebe,Φοίβη,titan,twelve titan,"titaness of the bright intellect and prophecy, and consort of koios"
Rhea,Ῥέα,titan,twelve titan,"titaness of fertility, motherhood and the mountain wilds"
Tethys,Τηθύς,titan,twelve titan,"titaness of fresh-water, and the mother of the rivers, springs, streams, fountains, and clouds"
Theia,Θεία,titan,twelve titan,titaness of sight and the shining light of the clear blue sky
Themis,Θέμις,titan,twelve titan,titaness of divine law and order
Asteria,Ἀστερία,titan,other titan,titaness of nocturnal oracles and falling stars
Astraeus,Ἀστραῖος,titan,other titan,"titan of dusk, stars, and planets, and the art of astrology"
Atlas,Ἄτλας,titan,other titan,titan forced to carry the heavens upon his shoulders by zeus
Dione,Διώνη,titan,other titan,titaness of the oracle of dodona
Helios,Ἥλιος,titan,other titan,titan of the sun and guardian of oaths
Selene,Σελήνη,titan,other titan,titaness of the moon
Eos,Ἠώς,titan,other titan,titaness of the dawn
Epimetheus,Ἐπιμηθεύς,titan,other titan,titan of afterthought and the father of excuses
Lelantos,Λήλαντος,titan,other, titan father of the nymph aura
Leto,Λητώ,titan,other titan,"titaness of motherhood and mother of the twin olympians, artemis and apollo"
Menoetius,Μενοίτιος,titan,other titan,"titan of violent anger, rash action, and human mortality"
Metis,Μῆτις,titan,other titan,"titaness of good counsel, advice, planning, cunning, craftiness, and wisdom"
Pallas,Πάλλας,titan,other titan,titan of warcraft
Perses,Πέρσης,titan,other titan,titan of destruction
Prometheus,Προμηθεύς,titan,other titan,"titan of forethought and crafty counsel, and creator of mankind"
Styx,Στύξ,titan,other titan,titaness of the underworld river styx and personification of hatred
Adephagia,Ἀδηφαγία,personification,personification,spirit of satiety and gluttony
Adikia,Ἀδικία,personification,personification,spirit of injustice and wrongdoing
Aergia,Ἀεργία,personification,personification,"spirit of idleness, laziness, indolence and sloth"
Agathodaemon,Ἀγαθοδαίμων,personification,personification,spirit  of the vineyards and grainfields
Agon,Ἀγών,personification,personification,"spirit of contest, who possessed an altar at olympia, site of the olympic games"
Aidos,Αἰδώς,personification,personification,"spirit of modesty, reverence and respect"
Aisa,Αἴσα,personification,personification,personification of lot and fate
Alala,Ἀλαλά,personification,personification,spirit of the war cry
Alastor,Ἀλάστωρ,personification,personification,spirit of blood feuds and vengeance
Aletheia,Ἀλήθεια,personification,personification,"spirit of truth, truthfulness and sincerity"
Achos,Ἄχος,personification,personification,spirit of trouble and distress (algea; ἄλγεα)
Ania,Ἀνία,personification,personification,spirit of ache and anguish (algea; ἄλγεα)
Lupe,Λύπη,personification,personification,"spirit of pain, grief, and sadness (algea; ἄλγεα)"
Alke,Ἀλκή,personification,personification,spirit of prowess and courage (one of the machai)
Amechania,Ἀμηχανία,personification,personification,spirit of helplessness and want of means
Amphilogiai,Ἀμφιλογίαι,personification,personification,"spirits of disputes, debate, and contention"
Anaideia,Ἀναίδεια,personification,personification,"spirit of ruthlessness, shamelessness, and unforgivingness"
Androktasiai,Ἀνδροκτασίαι,personification,personification,spirits of battlefield slaughter
Angelia,Ἀγγελία,personification,personification,"spirit of messages, tidings and proclamations"
Apate,Ἀπάτη,personification,personification,"spirit of deceit, guile, fraud and deception"
Apheleia,Ἀφέλεια,personification,personification,spirit of simplicity
Arae,Ἀραί,personification,personification,spirits of curses
Arete,Ἀρετή,personification,personification,"spirit of virtue, excellence, goodness, and valour"
Ate,Ἄτη,personification,personification,"spirit of delusion, infatuation, blind folly, recklessness, and ruin"
Bia,"Βία ""Violence""",personification,personification, personification of force and raw energy
Caerus,Καιρός,personification,personification,spirit of opportunity
Corus,Κόρος,personification,personification,spirit of surfeit
Deimos,Δεῖμος,personification,personification,"spirit of fear, dread, and terror"
Dikaiosyne,Δικαιοσύνη,personification,personification,spirit of justice and righteousness
