alert_set,name,smarts_str
Glaxo,R1 Reactive alkyl halides,"[Br,Cl,I][CX4;CH,CH2]"
Glaxo,R2 Acid halides,"[S,C](=[O,S])[F,Br,Cl,I]"
Glaxo,R3 Carbazides,O=CN=[N+]=[N-]
Glaxo,R4 Sulphate esters,"COS(=O)O[C,c]"
Glaxo,R5 Sulphonates,"COS(=O)(=O)[C,c]"
Glaxo,R6 Acid anhydrides,C(=O)OC(=O)
Glaxo,R7 Peroxides,OO
Glaxo,R8 Pentafluorophenyl esters,C(=O)Oc1c(F)c(F)c(F)c(F)c1(F)
Glaxo,R9 Paranitrophenyl esters,C(=O)Oc1ccc(N(=O)~[OX1])cc1
Glaxo,R10 esters of HOBT,C(=O)Onnn
Glaxo,R11 Isocyanates & Isothiocyanates,"N=C=[S,O]"
Glaxo,R12 Triflates,OS(=O)(=O)C(F)(F)F
Glaxo,R13 lawesson's reagent and derivatives,P(=S)(S)S
Glaxo,R14 phosphoramides,NP(=O)(N)N
Glaxo,R15 Aromatic azides,cN=[N+]=[N-]
Glaxo,R16 beta carbonyl quaternary Nitrogen,"C(=O)C[N+,n+]"
Glaxo,R17 acylhydrazide,[N;R0][N;R0]C(=O)
Glaxo,"R18 Quaternary C, Cl, I, P or S","[C+,Cl+,I+,P+,S+]"
Glaxo,R19 Phosphoranes,C=P
Glaxo,R20 Chloramidines,[Cl]C([C&R0])=N
Glaxo,R21 Nitroso,[N&D2](=O)
Glaxo,R22 P/S Halides,"[P,S][Cl,Br,F,I]"
Glaxo,R23 Carbodiimide,N=C=N
Glaxo,R24 Isonitrile,[N+]#[C-]
Glaxo,R25 Triacyloximes,C(=O)N(C(=O))OC(=O)
Glaxo,R26 Cyanohydrins,N#CC[OH]
Glaxo,R27 Acyl cyanides,N#CC(=O)
Glaxo,R28 Sulfonyl cyanides,S(=O)(=O)C#N
Glaxo,R29 Cyanophosphonates,P(OCC)(OCC)(=O)C#N
Glaxo,R30 Azocyanamides,[N;R0]=[N;R0]C#N
Glaxo,R31 Azoalkanals,[N;R0]=[N;R0]CC=O
Glaxo,I1 Aliphatic methylene chains 7 or more long,[CD2;R0][CD2;R0][CD2;R0][CD2;R0][CD2;R0][CD2;R0][CD2;R0]
Glaxo,I2 Compounds with 4 or more acidic groups,"[C,S,P](=O)[OH].[C,S,P](=O)[OH].[C,S,P](=O)[OH].[C,S,P](=O)[OH]"
Glaxo,I3 Crown ethers,[O;R1][C;R1][C;R1][O;R1][C;R1][C;R1][O;R1]
Glaxo,I4 Disulphides,SS
Glaxo,I5 Thiols,[SH]
Glaxo,"I6 Epoxides, Thioepoxides, Aziridines","C1[O,S,N]C1"
Glaxo,"I7 2,4,5 trihydroxyphenyl",c([OH])c([OH])c([OH])
Glaxo,"I8 2,3,4 trihydroxyphenyl",c([OH])c([OH])cc([OH])
Glaxo,I9 Hydrazothiourea,N=NC(=S)N
Glaxo,I10 Thiocyanate,SC#N
Glaxo,I11 Benzylic quaternary Nitrogen,cC[N+]
Glaxo,I12 Thioesters,"C[O,S;R0][C;R0](=S)"
Glaxo,I13 Cyanamides,N[CH2]C#N
Glaxo,I14 Four membered lactones,C1(=O)OCC1
Glaxo,I15 Di and Triphosphates,P(=O)([OH])OP(=O)[OH]
Glaxo,I16 Betalactams,N1CCC1=O
Glaxo,N1 Quinones,O=C1[#6]~[#6]C(=O)[#6]~[#6]1
Glaxo,N2 Polyenes,C=CC=CC=CC=C
Glaxo,N3 Saponin derivatives,O1CCCCC1OC2CCC3CCCCC3C2
Glaxo,N4 Cytochalasin derivatives,O=C1NCC2CCCCC21
Glaxo,N5 Cycloheximide derivatives,O=C1CCCC(N1)=O
Glaxo,N6 Monensin derivatives,O1CCCCC1C2CCCO2
Glaxo,N7 Cyanidin derivatives,[OH]c1cc([OH])cc2=[O+]C(=C([OH])Cc21)c3cc([OH])c([OH])cc3
Glaxo,N8 Squalestatin derivatives,C12OCCC(O1)CC2
