spacegroup,asymmetricunit,cellspec
1,0 ≤ x ≤ 1; 0 ≤ y ≤ 1; 0 ≤ z ≤ 1,
2,0 ≤ x ≤ 1/2; 0 ≤ y ≤ 1; 0 ≤ z ≤ 1,
3,0 ≤ x ≤ 1; 0 ≤ y ≤ 1; 0 ≤ z ≤ 1/2,UNIQUE AXIS b
4,0 ≤ x ≤ 1; 0 ≤ y ≤ 1; 0 ≤ z ≤ 1/2,UNIQUE AXIS b
5,0 ≤ x ≤ 1/2; 0 ≤ y ≤ 1/2; 0 ≤ z ≤ 1,"UNIQUE AXIS b, CELL CHOICE 1"
6,0 ≤ x ≤ 1; 0 ≤ y ≤ 1/2; 0 ≤ z ≤ 1,UNIQUE AXIS b
7,0 ≤ x ≤ 1; 0 ≤ y ≤ 1/2; 0 ≤ z ≤ 1,"UNIQUE AXIS b, CELL CHOICE 1"
8,0 ≤ x ≤ 1; 0 ≤ y ≤ 1/4; 0 ≤ z ≤ 1,"UNIQUE AXIS b, CELL CHOICE 1"
9,0 ≤ x ≤ 1; 0 ≤ y ≤ 1/4; 0 ≤ z ≤ 1,"UNIQUE AXIS b, CELL CHOICE 1"
10,0 ≤ x ≤ 1/2; 0 ≤ y ≤ 1/2; 0 ≤ z ≤ 1,UNIQUE AXIS b
11,0 ≤ x ≤ 1; 0 ≤ y ≤ 1/4; 0 ≤ z ≤ 1,UNIQUE AXIS b
12,0 ≤ x ≤ 1/2; 0 ≤ y ≤ 1/4; 0 ≤ z ≤ 1,"UNIQUE AXIS b, CELL CHOICE 1"
13,0 ≤ x ≤ 1/2; 0 ≤ y ≤ 1; 0 ≤ z ≤ 1/2,"UNIQUE AXIS b, CELL CHOICE 1"
14,0 ≤ x ≤ 1; 0 ≤ y ≤ 1/4; 0 ≤ z ≤ 1,"UNIQUE AXIS b, CELL CHOICE 1"
15,0 ≤ x ≤ 1/2; 0 ≤ y ≤ 1/2; 0 ≤ z ≤ 1/2,"UNIQUE AXIS b, CELL CHOICE 1"
16,0 ≤ x ≤ 1/2; 0 ≤ y ≤ 1/2; 0 ≤ z ≤ 1,
17,0 ≤ x ≤ 1/2; 0 ≤ y ≤ 1/2; 0 ≤ z ≤ 1,
18,0 ≤ x ≤ 1/2; 0 ≤ y ≤ 1/2; 0 ≤ z ≤ 1,
19,0 ≤ x ≤ 1/2; 0 ≤ y ≤ 1/2; 0 ≤ z ≤ 1,
20,0 ≤ x ≤ 1/2; 0 ≤ y ≤ 1/2; 0 ≤ z ≤ 1/2,
21,0 ≤ x ≤ 1/4; 0 ≤ y ≤ 1/2; 0 ≤ z ≤ 1,
22,0 ≤ x ≤ 1/4; 0 ≤ y ≤ 1/4; 0 ≤ z ≤ 1,
23,0 ≤ x ≤ 1/2; 0 ≤ y ≤ 1/2; 0 ≤ z ≤ 1/2,
24,0 ≤ x ≤ 1/2; 0 ≤ y ≤ 1/2; 0 ≤ z ≤ 1/2,
25,0 ≤ x ≤ 1/2; 0 ≤ y ≤ 1/2; 0 ≤ z ≤ 1,
26,0 ≤ x ≤ 1/2; 0 ≤ y ≤ 1/2; 0 ≤ z ≤ 1,
27,0 ≤ x ≤ 1/2; 0 ≤ y ≤ 1/2; 0 ≤ z ≤ 1,
28,0 ≤ x ≤ 1/4; 0 ≤ y ≤ 1; 0 ≤ z ≤ 1,
29,0 ≤ x ≤ 1/4; 0 ≤ y ≤ 1; 0 ≤ z ≤ 1,
30,0 ≤ x ≤ 1/2; 0 ≤ y ≤ 1; 0 ≤ z ≤ 1/2,
31,0 ≤ x ≤ 1/2; 0 ≤ y ≤ 1/2; 0 ≤ z ≤ 1,
32,0 ≤ x ≤ 1/2; 0 ≤ y ≤ 1/2; 0 ≤ z ≤ 1,
33,0 ≤ x ≤ 1/2; 0 ≤ y ≤ 1/2; 0 ≤ z ≤ 1,
34,0 ≤ x ≤ 1/2; 0 ≤ y ≤ 1/2; 0 ≤ z ≤ 1,
35,0 ≤ x ≤ 1/4; 0 ≤ y ≤ 1/2; 0 ≤ z ≤ 1,
36,0 ≤ x ≤ 1/2; 0 ≤ y ≤ 1/2; 0 ≤ z ≤ 1/2,
