SpaceGroup,MultiplicityConventional,MultiplicityPrimitive,Wyckoffletter,Sitesymmetry,Coordinates
1,1,1.0,a,1,"x,y,z"
2,2,2.0,i,1,"x,y,z"
2,1,1.0,h,-1,"1/2,1/2,1/2"
2,1,1.0,g,-1,"0,1/2,1/2"
2,1,1.0,f,-1,"1/2,0,1/2"
2,1,1.0,e,-1,"1/2,1/2,0"
2,1,1.0,d,-1,"1/2,0,0"
2,1,1.0,c,-1,"0,1/2,0"
2,1,1.0,b,-1,"0,0,1/2"
2,1,1.0,a,-1,"0,0,0"
3,2,2.0,e,1,"x,y,z"
3,1,1.0,d,2,"1/2,y,1/2"
3,1,1.0,c,2,"1/2,y,0"
3,1,1.0,b,2,"0,y,1/2"
3,1,1.0,a,2,"0,y,0"
4,2,2.0,a,1,"x,y,z"
5,4,2.0,c,1,"x,y,z"
5,2,1.0,b,2,"0,y,1/2"
5,2,1.0,a,2,"0,y,0"
6,2,2.0,c,1,"x,y,z"
6,1,1.0,b,m,"x,1/2,z"
6,1,1.0,a,m,"x,0,z"
7,2,2.0,a,1,"x,y,z"
8,4,2.0,b,1,"x,y,z"
8,2,1.0,a,m,"x,0,z"
9,4,2.0,a,1,"x,y,z"
10,4,4.0,o,1,"x,y,z"
10,2,2.0,n,m,"x,1/2,z"
10,2,2.0,m,m,"x,0,z"
10,2,2.0,l,2,"1/2,y,1/2"
10,2,2.0,k,2,"0,y,1/2"
10,2,2.0,j,2,"1/2,y,0"
10,2,2.0,i,2,"0,y,0"
10,1,1.0,h,2/m,"1/2,1/2,1/2"
10,1,1.0,g,2/m,"1/2,0,1/2"
10,1,1.0,f,2/m,"0,1/2,1/2"
10,1,1.0,e,2/m,"1/2,1/2,0"
10,1,1.0,d,2/m,"1/2,0,0"
10,1,1.0,c,2/m,"0,0,1/2"
10,1,1.0,b,2/m,"0,1/2,0"
10,1,1.0,a,2/m,"0,0,0"
11,4,4.0,f,1,"x,y,z"
11,2,2.0,e,m,"x,1/4,z"
11,2,2.0,d,-1,"1/2,0,1/2"
11,2,2.0,c,-1,"0,0,1/2"
11,2,2.0,b,-1,"1/2,0,0"
11,2,2.0,a,-1,"0,0,0"
12,8,4.0,j,1,"x,y,z"
12,4,2.0,i,m,"x,0,z"
12,4,2.0,h,2,"0,y,1/2"
12,4,2.0,g,2,"0,y,0"
12,4,2.0,f,-1,"1/4,1/4,1/2"
12,4,2.0,e,-1,"1/4,1/4,0"
12,2,1.0,d,2/m,"0,1/2,1/2"
12,2,1.0,c,2/m,"0,0,1/2"
12,2,1.0,b,2/m,"0,1/2,0"
12,2,1.0,a,2/m,"0,0,0"
13,4,4.0,g,1,"x,y,z"
13,2,2.0,f,2,"1/2,y,1/4"
13,2,2.0,e,2,"0,y,1/4"
13,2,2.0,d,-1,"1/2,0,0"
13,2,2.0,c,-1,"0,1/2,0"
13,2,2.0,b,-1,"1/2,1/2,0"
13,2,2.0,a,-1,"0,0,0"
14,4,4.0,e,1,"x,y,z"
14,2,2.0,d,-1,"1/2,0,1/2"
14,2,2.0,c,-1,"0,0,1/2"
14,2,2.0,b,-1,"1/2,0,0"
14,2,2.0,a,-1,"0,0,0"
15,8,4.0,f,1,"x,y,z"
15,4,2.0,e,2,"0,y,1/4"
15,4,2.0,d,-1,"1/4,1/4,1/2"
